Date,Open,High,Low,Close,Volume,Adj Close
2015-02-23,2895.00,2926.00,2869.00,2898.00,992300,2898.00
2015-02-20,2929.00,2929.00,2867.00,2875.00,873100,2875.00
2015-02-19,2930.00,2986.00,2925.00,2942.00,853900,2942.00
2015-02-18,2898.00,2953.00,2898.00,2947.00,904000,2922.00
2015-02-17,2878.00,2900.00,2837.00,2899.00,714500,2874.41
2015-02-16,2889.00,2897.00,2852.00,2872.00,385400,2847.64
2015-02-13,2939.00,2942.00,2893.00,2900.00,1086700,2875.40
2015-02-12,2924.00,2964.00,2878.00,2963.00,832000,2937.86
2015-02-11,2923.00,2934.00,2906.00,2920.00,1025100,2895.23
2015-02-10,2872.00,2921.00,2869.00,2911.00,1330600,2886.31
2015-02-09,2886.00,2899.00,2858.00,2882.00,624900,2857.55
2015-02-06,2891.00,2907.00,2870.00,2905.00,424800,2880.36
2015-02-05,2909.00,2955.00,2890.00,2908.00,597600,2883.33
2015-02-04,2921.00,2930.00,2844.00,2921.00,996100,2896.22
2015-02-03,2919.00,2941.00,2893.00,2934.00,902600,2909.11
2015-02-02,2998.00,3008.00,2885.00,2921.00,1158800,2896.22
2015-01-30,3006.00,3034.00,2990.00,2997.00,874100,2971.58
2015-01-29,3035.00,3085.00,2942.00,3000.00,1807600,2974.55
2015-01-28,3090.00,3114.00,3045.00,3068.00,719000,3041.97
2015-01-27,3105.00,3126.00,3049.00,3070.00,795500,3043.96
2015-01-26,3113.00,3152.00,3097.00,3110.00,501900,3083.62
2015-01-23,3102.00,3153.00,3096.00,3126.00,666000,3099.48
2015-01-22,3059.00,3093.00,3024.00,3088.00,1833200,3061.80
2015-01-21,3012.00,3055.00,3005.00,3055.00,968200,3029.08
2015-01-20,3028.00,3042.00,3004.00,3016.00,921000,2990.41
2015-01-19,2989.00,3027.00,2984.00,3020.00,359300,2994.38
2015-01-16,2985.00,3016.00,2957.00,2990.00,1216500,2964.64
2015-01-15,3007.00,3022.00,2937.00,3007.00,992000,2981.49
2015-01-14,3023.00,3069.00,2987.00,3001.00,843400,2975.54
2015-01-13,3049.00,3094.00,3040.00,3053.00,738600,3027.10
2015-01-12,3046.00,3102.00,3044.00,3063.00,1083500,3037.02
2015-01-09,3044.00,3060.00,2998.00,3016.00,727000,2990.41
2015-01-08,3020.00,3057.00,2985.00,3048.00,1280800,3022.14
2015-01-07,2984.00,3016.00,2970.00,3003.00,1493200,2977.52
2015-01-06,2979.00,2996.00,2912.00,2964.00,1110900,2938.86
2015-01-05,2925.00,3039.00,2915.00,2980.00,1798600,2954.72
2015-01-02,2934.00,2959.00,2909.00,2930.00,472100,2905.14
2015-01-01,2919.00,2919.00,2919.00,2919.00,000,2894.24
2014-12-31,2904.00,2934.00,2899.00,2919.00,87500,2894.24
2014-12-30,2927.00,2950.00,2903.00,2912.00,518000,2887.30
2014-12-29,2876.00,2930.00,2871.00,2930.00,991700,2905.14
2014-12-26,2859.00,2859.00,2859.00,2859.00,000,2834.75
2014-12-25,2859.00,2859.00,2859.00,2859.00,000,2834.75
2014-12-24,2873.00,2885.00,2846.87,2859.00,379700,2834.75
2014-12-23,2831.00,2853.00,2813.00,2843.00,1244900,2818.88
2014-12-22,2814.00,2832.00,2802.00,2823.00,1187100,2799.05
2014-12-19,2829.00,2866.00,2745.00,2810.00,1742400,2786.16
2014-12-18,2838.00,2842.60,2792.00,2813.00,1188000,2789.14
